first_order_doi,Overton id,Title,Translated title,Document type,Published_on,Document URL,Source specific tags,Top topics,Languages,Document theme,Policy Document DOIs
10.1056/nejmoa1304459,cdc-b79368f499b8dd6e9290a5cda4a53cb7,Highlights in the history of avian influenza (bird flu) timeline – references,,Clinical guidance,2022-07-08,https://stacks.cdc.gov/view/cdc/119407,,"Avian influenza, Influenza A virus subtype H7N9, Influenza A virus subtype H5N1",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease",
10.1056/nejmoa1304459,asiandevelopmentbank-23273d49c5b5639ec8c2eac6678fba8d,"Poverty, Vulnerability, and Fiscal Sustainability in the People's Republic of China",,Publication,2021-06-25,https://www.adb.org/publications/poverty-vulnerability-fiscal-sustainability-prc,,"Poverty, Economic growth, Social exclusion",eng,"economy, business and finance, labour, science and technology, economy, business and finance>economy, health, education, labour>unemployment",10.22617/tcs210217-2
10.1056/nejmoa1304459,asiandevelopmentbank-91f6b7f2981ca2a492a44d4f85b69d86,关于中国贫困问题、脆弱性和财政可持续性的研究,"Research on Poverty, Vulnerability, and Fiscal Sustainability in China",Publication,2021-06-25,https://www.adb.org/node/709731,,"China, Population ageing, Mingong",chi,"education>school, education, science and technology, health",10.22617/tcs210221-2
10.1056/nejmoa1304459,who-bc0af3ad9597ebc533a63ee4ae36a6e5,Early response to the emergence of influenza A(‎H7N9)‎ virus in humans in China: the central role of prompt information sharing and public communication,,Publication,2018-03-26,https://apps.who.int/iris/handle/10665/271489,,"Clinical medicine, Medical statistics, Health",eng,"health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, health, science and technology, science and technology>natural science>biology, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",
10.1056/nejmoa1304459,who-63e3c6f5b0d4f4e7d8e5ddf11edd4081,Integrated biological–behavioural surveillance in pandemic-threat warning systems,,Publication,2018-03-26,https://apps.who.int/iris/handle/10665/272034,,"Health sciences, Epidemiology, Medical specialties",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, health>diseases and conditions>illness, science and technology, health>diseases and conditions>communicable disease",
10.1056/nejmoa1304459,pubmedcentral-425d695d16729cd83cacd1f8c8fad03f,"Diagnosis and treatment of community‐acquired pneumonia in adults: 2016 clinical practice guidelines by the Chinese Thoracic Society, Chinese Medical Association",,Clinical guidance,2017-09-26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7162259/pdf,,"Health, Diseases and disorders, Health sciences",eng,"health, health>diseases and conditions>illness, science and technology>biomedical science>pharmacology, science and technology, science and technology>biomedical science, health>diseases and conditions",10.1111/crj.12674
10.1056/nejmoa1304459,who-c5b6bba02489a0c60fc80944130401fd,"Seventh Meeting of National Influenza Centres and Influenza Surveillance in the Western Pacific and South-East Asia Regions, Beijing, China, 12-15 November 2013 : meeting report",,Publication,2017-08-02,https://apps.who.int/iris/handle/10665/259115,,"Life sciences, Viral respiratory tract infections, Poultry diseases",eng,"health>diseases and conditions>communicable disease>virus disease, science and technology>natural science, health>diseases and conditions, health, science and technology, science and technology>natural science>biology, health>diseases and conditions>communicable disease, health>diseases and conditions>illness",
10.1056/nejmoa1304459,ecdc-25655cb1b7a7b99e924744943421385f,"Genetic evolution of influenza A(H7N9) virus in China - implications for public health. Sixth update, 9 March 2017",,Publication,2017-03-10,https://www.ecdc.europa.eu/en/publications-data/genetic-evolution-influenza-ah7n9-virus-china-implications-public-health-sixth,,"Influenza A virus subtype H7N9, Avian influenza, Influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology",
10.1056/nejmoa1304459,ecdc-f0ddd3e6de73a85114a20a96d4353b81,"Human infection with avian influenza A(H7N9) virus - 5th update, 27 January 2017",,Publication,2017-01-27,https://www.ecdc.europa.eu/en/publications-data/human-infection-avian-influenza-ah7n9-virus-5th-update-27-january-2017,,"Influenza A virus subtype H7N9, Avian influenza, Influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, health>diseases and conditions>illness, health>diseases and conditions>communicable disease, science and technology",
10.1056/nejmoa1304459,who-b3c1f04fd02df5358d2a6f1601d8ce0f,Avian influenza A(‎H7N9)‎ response : an investment in public health preparedness,,Publication,2016-05-31,https://apps.who.int/iris/handle/10665/207675,,"Epidemiology, Medical specialties, Health",eng,"science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, science and technology, health>diseases and conditions>illness, science and technology>natural science>biology, health>diseases and conditions>communicable disease",
