altmetric_id,doi,source_type,title,url,posted_on,summary,first_order_doi
803051,10.1126/science.1213362,blogs,"Influenza H5N1 virus versus ferrets, round two",http://www.virology.ws/2012/06/21/influenza-h5n1-virus-versus-ferrets-round-two/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+VirologyBlog+%28virology+blog%29,2012-06-21T20:07:00+00:00,"The second of two papers on avian influenza H5N1 virus that caused such a furor in the past year was published today in the journal Science. I have carefully read the paper by Fouchier and colleagues, and I assure you that it does not enable the productio...",
803051,10.1126/science.1213362,blogs,Unleashing the Ferrets of Fear,http://alandove.com/content/2012/06/unleashing-the-ferrets-of-fear/,2012-06-22T17:09:00+00:00,"The second of two controversial papers on H5N1 &#8220;bird flu&#8221; came out yesterday, and if you didn&#8217;t hear about it, it wasn&#8217;t for lack of publicity. Not only did journalists get the usual embargoed access to the paper at the beginning...",
803051,10.1126/science.1213362,blogs,H5N1: What kind of oversight is best for bird flu research?,"http://www.latimes.com/health/boostershots/la-heb-bird-flu-future-ebright-20120622,0,3927576.story?track=rss",2012-06-22T23:11:00+00:00,The upshot of months of controversy over whether to publish research that used the H5N1 avian flu virus -- experiments in which scientists engineered forms of the bug that could spread through the air to infect mammals -- was that scientists got to  publi...,
803051,10.1126/science.1213362,blogs,Origin of the H5N1 storm,http://www.virology.ws/2012/07/10/origin-of-the-h5n1-storm/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+VirologyBlog+%28virology+blog%29,2012-07-10T13:01:00+00:00,"I still wonder why the influenza virus H5N1 ferret transmission studies generated such fear and misunderstanding among the public, the press, and even some scientists. I still cannot fully explain what transpired, but now that the papers have been publish...",
803051,10.1126/science.1213362,blogs,H5N1: alla fine è stato pubblicato,http://robertoinsoliascienza.wordpress.com/2012/06/26/h5n1-alla-fine-e-stato-pubblicato/,2012-06-26T06:05:00+00:00,See on Scoop.it &#8211; Med News Da oltre 6 mesi la comunit&agrave; dei virologi &egrave; l&#8217;opinione pubblica stanno discutendo in merito alla pubblicazione o meno dei dati scientifici (potenzialmente pericolosi per la salute pubblica) riguardo a ...,
803051,10.1126/science.1213362,blogs,What Science Should We Fund? Questioning New Policy on H5N1 Gain-of-Function Research,http://rss.sciam.com/click.phdo?i=83e09f827ca8bc1afd991bc72025a1e5,2013-01-15T12:32:00+00:00,"Terrence Tumpey, whose team reconstructed the extinct 1918 “Spanish Flu” virus. Cutting edge influenza research has generated controversy, with some claiming that the benefits of creating new (or resurrecting old) viruses are outweighed by the risks of an...",
803051,10.1126/science.1213362,blogs,EDITORIAL: A long pause,http://feeds.nature.com/~r/nm/rss/spoonful_of_medicine/~3/MCDQYqqzUA0/a-long-pause.html,2013-01-24T20:20:41+00:00,"A version of this editorial appears in the February 2013 issue of Nature Medicine. Last January, scientists voluntarily imposed a pause on research that could lead to the generation of highly pathogenic avian influenza viruses with increased transmissibil...",
803051,10.1126/science.1213362,blogs,Science and the Flu: A Little Learning Is A Dangerous Thing,http://science.kqed.org/quest/2012/09/25/science-and-the-flu-a-little-learning-is-a-dangerous-thing/?utm_source=rss&utm_medium=rss&utm_campaign=science-and-the-flu-a-little-learning-is-a-dangerous-thing,2012-09-25T15:00:02+00:00,"Bernt Notke&#39;s Danse Macabre The first sniffles of flu season are upon us: a friend of mine was struck down, and couldn't join me in attending a science dialogue on Sunday night. This was darkly humorous, as the topic of the evening was pandemics. Prov...",
803051,10.1126/science.1213362,blogs,Monday Micro – citizen science &amp; the scary viruses,http://sciblogs.co.nz/infectious-thoughts/2013/06/03/monday-micro-citizen-science-the-scary-viruses/,2013-06-03T10:26:00+00:00,"I&#8217;ve recently returned from Denver, Colorado where I was attending the American Society of Microbiology&#8217;s (ASM) annual conference. It was one of the biggest conferences I&#8217;ve ever been to: approximately 7,100 attendees, nearly 230 sessi...",
803051,10.1126/science.1213362,blogs,Ferreting Out Flu,http://directorsblog.nih.gov/ferreting-out-flu/?utm_source=rss&amp;utm_medium=rss&amp;utm_campaign=ferreting-out-flu,2013-06-06T13:00:00+00:00,"Caption: Testing transmission of the new H7N9 flu virusCredit: Sander Herfst, Department of Virology, Erasmus Medical Center, Rotterdam, NL The latest flu virus causing concern, H7N9, arose in birds in Eastern China a few months ago—so far infecting more ...",
