unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_unique_identifier
10.2760/26856,Interferences between non-proliferation and science : ‘exporting’ dual-use know-how and technology in conformity with security imperatives.,Publication,2018-01-09,https://op.europa.eu/en/publication-detail/-/publication/7aa93b6b-f5bb-11e7-b8f5-01aa75ed71a1/language-en/format-PDF,,"Treaty on the Non-Proliferation of Nuclear Weapons, Nuclear proliferation, IAEA safeguards",eng,"economy, business and finance, health, science and technology, politics>international relations, politics, economy, business and finance>economy, science and technology>natural science, science and technology>social sciences",10.2796/28465
10.2796/28465,"The ethics of research security and of security research : proceedings of the fifth meeting of the European Commission International Dialogue on Bioethics, Brussels, Belgium, 17 September 2013.",Publication,2014-10-14,https://op.europa.eu/en/publication-detail/-/publication/afb7e4cc-68bb-4067-a436-cc288c5dadc5/language-en/format-PDF,,"Combined DNA Index System, DNA profiling, Synthetic biology",eng,"crime, law and justice, crime, law and justice>judiciary, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, crime, law and justice>judiciary>court, crime, law and justice>crime",10.2796/28465
10.2900/207223,Investigation protocol for potential human cases of avian influenza virus infection in the EU/EEA - Publications Office of the EU,Publication,2024-01-08,https://op.europa.eu/en/publication-detail/-/publication/3b4234a6-af6b-11ee-b164-01aa75ed71a1/language-en,,"Infection, Avian influenza, Zanamivir",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health",10.2900/207223
10.2791/97082,Drivers of change : the main drivers of change affecting the research and innovation landscape and their implications for EU policy.,Publication,2013-02-13,https://op.europa.eu/en/publication-detail/-/publication/17a98347-8611-4ecc-89d1-641062c234cd/language-en/format-PDF,,"Science, European Research Council, European Union",eng,"economy, business and finance, education, science and technology, science and technology>social sciences, science and technology>social sciences>economics, economy, business and finance>economy",10.2791/97082
10.2788/28112,Impact of engineered nanomaterials on health : considerations for benefit-risk assessment. EASAC Policy report No. 15.,Publication,2013-04-09,https://op.europa.eu/en/publication-detail/-/publication/9fa25940-2588-41c9-bed6-a8ed09dd3bbd/language-en/format-PDF,,"Nanotechnology, Nanomaterials, Nanotoxicology",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology, science and technology>natural science, science and technology>technology and engineering, science and technology>technology and engineering>micro science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>chemicals, science and technology>technology and engineering>micro science>nanotechnology, science and technology>natural science>biology>physiology",10.2788/29424
10.2788/29424,Impact of Engineered Nanomaterials on Health: Considerations for Benefit-Risk Assessment - EASAC Policy Report - JRC Reference Report,Publication,2011-09-15,https://publications.jrc.ec.europa.eu/repository/handle/JRC64792,"Environment and climate change, Health and consumer protection","Nanotechnology, Nanotoxicology, Nanomaterials",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>chemicals, science and technology, science and technology>natural science>biology>physiology",10.2788/29424
10.2875/590512,Final opinion on synthetic biology III : risks to the environment and biodiversity related to synthetic biology and research priorities in the field of synthetic biology.,Publication,2016-04-04,https://op.europa.eu/en/publication-detail/-/publication/9b231c71-faf1-11e5-b713-01aa75ed71a1/language-en/format-PDF,,"Convention on Biological Diversity, Biodiversity, Genetically modified organism",eng,"science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, environment, science and technology",10.2875/590512
10.4324/9781849775564,Crop wild relatives: A manual of in situ conservation,Publication,2016-09-02,https://hdl.handle.net/10568/76811,"Bioversity Books, Bioversity International, CGIAR research centers, CTA Technical Publications, Non-CGIAR communities, Technical Centre for Agricultural and Rural Cooperation (CTA) - archive","Conservation biology, Rice, Agricultural biodiversity",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, environment, environment>nature, science and technology, lifestyle and leisure>lifestyle>food and drink, economy, business and finance>economic sector>agriculture",10.2800/6160
10.2800/6160,The European environment : state and outlook 2010 : biodiversity.,Publication,2011-08-16,https://op.europa.eu/en/publication-detail/-/publication/9e794848-a19a-4e05-aea6-6db75b1e0cf0/language-en/format-PDF,,"Biodiversity, Agriculture, Conservation biology",eng,"economy, business and finance, economy, business and finance>economic sector, environment>natural resources, environment>natural resources>land resources, economy, business and finance>economic sector>agriculture, environment, environment>natural resources>water, environment>natural resources>land resources>forests, environment>nature>ecosystem, environment>nature",10.2800/6160
randcorporation-5ff9256a791ce8e228df5b89532b160e,Artificial General Intelligence's Five Hard National Security Problems,Publication,2025-02-10,https://www.rand.org/pubs/perspectives/PEA3691-4.html,,"Artificial general intelligence, Artificial intelligence, AI safety",eng,"conflicts, war and peace>armed conflict, economy, business and finance, economy, business and finance>economic sector, politics, politics>government policy, science and technology, conflicts, war and peace>armed conflict>war, economy, business and finance>economic sector>computing and information technology, conflicts, war and peace, politics>government policy>nuclear policy",randcorporation-8435dd8a8dd0461232cb9f74ee9debf1
unitednations-e00a481fcd1fd600c269005cd94a542f,Election of 5 members of the International Narcotics Control Board from among candidates nominated by Governments :note /,Publication,2024-01-23,https://digitallibrary.un.org/record/4038542?ln=en,"BIOGRAPHY, ELECTION OF MEMBERS","United Nations Office on Drugs and Crime, Illegal drug trade, Drug",fre,"crime, law and justice, science and technology>biomedical science, education, crime, law and justice>crime>drug related crimes, crime, law and justice>crime, science and technology, science and technology>biomedical science>pharmacology, health",who-083c2a2238ce6b3cd059c032a7e92b40
who-17b2763b1af2ef755b84cc8e27337a93,Landscape analysis of the opportunities and challenges for neurotechnology in global health,Publication,2025-06-30,https://apps.who.int/iris/handle/10665/381761,1. Headquarters,"Neuroscience, Neurology, Magnetic resonance imaging",eng,"health>health treatment, health>diseases and conditions, science and technology, health, health>health treatment>medicine",who-f6488bdadd89245cefef23285bb10d1b
who-f6cd6c8dc3ee63c6eedf9304fc4d0735,"WHO Technical Advisory Group on the responsible use of the life sciences and dual-use research: report of the meeting, 22 January 2025",Publication,2025-05-13,https://apps.who.int/iris/handle/10665/381408,1. Headquarters,"Artificial intelligence, Biosecurity, Governance",eng,"society>values, society, education, health, science and technology, society>values>ethics",who-f6488bdadd89245cefef23285bb10d1b
who-839e5b69367c2091b595cd3dbbb49054,Global network of WHO collaborating centres for bioethics: progress report 2022-2023,Publication,2025-03-23,https://apps.who.int/iris/handle/10665/380859,1. Headquarters,"Creative Commons license, Artificial intelligence, Health",eng,"society, education, society>values, health>diseases and conditions, health, science and technology, education>school, society>values>ethics",who-f6488bdadd89245cefef23285bb10d1b
who-d2f45c9ee2ff5688ea89c27d9b13643d,"WHO Technical Advisory Group on the responsible use of the life sciences and dual-use research: report of the meeting, 30 October 2024",Publication,2025-02-28,https://apps.who.int/iris/handle/10665/380675,1. Headquarters,"Health, Governance, Biosecurity",eng,"education>school, education>school>higher education, society, society>values, education, health, science and technology, society>values>ethics, education>school>higher education>university",who-f6488bdadd89245cefef23285bb10d1b
centerforanewamericansecurity-fc94e47f510fb68c113b07fe9b48dd87,Biopower,Publication,2025-01-15,https://www.cnas.org/publications/reports/biopower,,"Health, Gene, DNA",eng,"health, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions",who-f6488bdadd89245cefef23285bb10d1b
who-adb1f2062f8e2a6cc93e1ba004233336,"WHO Technical Advisory Group on the responsible use of the life sciences and dual-use research: report of the meeting, 25 June 2024",Publication,2024-11-17,https://apps.who.int/iris/handle/10665/379556,1. Headquarters,"Governance, Artificial intelligence, Health",eng,"education>school, education>school>higher education, society, society>values, health, education, science and technology, society>values>ethics, education>school>higher education>university",who-f6488bdadd89245cefef23285bb10d1b
unidir-411b02f99f1e345178b87500075e8943,"2023 Biorisks, Biosecurity and Biological Disarmament Conference Report",Publication,2024-07-09,https://unidir.org/publication/2023-biorisks-biosecurity-and-biological-disarmament-conference-report/,,"Multistakeholder governance, Risk assessment, United Nations Institute for Disarmament Research",eng,"science and technology>natural science, science and technology>natural science>biology, science and technology, health, politics, science and technology>natural science>biology>genetics",who-f6488bdadd89245cefef23285bb10d1b
