altmetric_id,core_doi,source_type,title,unique_identifier,posted_on,summary,lang_checked
605598,10.1128/jvi.75.3.1205-1210.2001,blogs,TWiV 112: Creating a killer poxvirus,http://feedproxy.google.com/~r/virologyblog/~3/7mot8wzv5qu,19/12/2010,"Hosts: Vincent Racaniello, Alan Dove, and Rich Condit On episode #112 of the podcast This Week in Virology, Vincent, Alan, and Rich review the making of a virulent poxvirus by insertion of the gene encoding IL-4, and severe 2009 H1N1 influenza due to path...",True
605598,10.1128/jvi.75.3.1205-1210.2001,blogs,The Five Biggest Threats To Human Existence,http://feeds.popsci.com/c/34567/f/632422/s/3af47640/sc/38/l/0l0spopsci0n0carticle0cscience0cfive0ebiggest0ethreats0ehuman0eexistence/story01.htm,29/05/2014,"Other ways humanity could end are more subtle.   United States Department of Energy   In the daily hubbub of current &ldquo;crises&rdquo; facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years fr...",True
605598,10.1128/jvi.75.3.1205-1210.2001,blogs,The 5 Biggest Threats To Human Existence,http://io9.com/the-5-biggest-threats-to-human-existence-1584438233,01/06/2014,"In the daily hubbub of current &ldquo;crises&rdquo; facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, but 1,000 or 10,000 years from now. Read more...",True
605598,10.1128/jvi.75.3.1205-1210.2001,blogs,The five biggest threats to human existence,http://www.technology.org/2014/06/02/five-biggest-threats-human-existence,02/06/2014,"Other ways humanity could end are more subtle.&nbsp;United States Department of Energy,&nbsp;CC BY In the daily hubbub of current &ldquo;crises&rdquo; facing humanity, we forget about the many generations we hope are yet to come. Not those who will live...",True
605598,10.1128/jvi.75.3.1205-1210.2001,blogs,Obama’s Science Advisors Are Worried About Future CRISPR Terrorism,http://motherboard.vice.com/read/obamas-science-advisors-are-worried-about-future-crispr-terrorism,21/11/2016,"Last week the President&rsquo;s Council of Advisors on Science and Technology (PCAST), which consists of 18 scientists and policy experts in various disciplines, issued a letter to President Obama on the potential emergence of new forms of bioterrorism....",True
605598,10.1128/jvi.75.3.1205-1210.2001,video,5 Sci-Fi Dystopias That Could Really Happen,https://www.youtube.com/watch?v=ak7tuxgkuus,28/04/2019,Go to http://curiositystream.com/scishow to start streaming Curious Minds: Nanotechnology. Use the promo code scishow during the sign-up process to get your first 31 days free.   Disaster and dystopia movies are extremely popular these days—the good part ...,True
605598,10.1128/jvi.75.3.1205-1210.2001,news,The Five Biggest Threats To Human Existence,http://www.popsci.com/article/science/five-biggest-threats-human-existence,29/05/2014,"Other ways humanity could end are more subtle. United States Department of Energy In the daily hubbub of current “crises” facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, but 1,000 ...",True
605598,10.1128/jvi.75.3.1205-1210.2001,news,Here are the five biggest threats to human existence,http://www.rawstory.com/rs/2014/05/30/here-are-the-five-biggest-threats-to-human-existence,30/05/2014,"By Anders Sandberg, University of Oxford In the daily hubbub of current “crises” facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, but 1,000 or 10,000 years from now. I use the word ...",True
605598,10.1128/jvi.75.3.1205-1210.2001,news,The five biggest threats to human existence,http://phys.org/news/2014-05-biggest-threats-human.html,29/05/2014,"In the daily hubbub of current ""crises"" facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, but 1,000 or 10,000 years from now. I use the word ""hope"" because we face risks, called ex...",True
605598,10.1128/jvi.75.3.1205-1210.2001,news,The five biggest threats to human existence,http://theconversation.com/the-five-biggest-threats-to-human-existence-27053,29/05/2014,"Other ways humanity could end are more subtle. United States Department of Energy , CC BY In the daily hubbub of current “crises” facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, bu...",True
