core_doi,title,publication_date,type,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name,first_order_doi
10.1126/science.1213362,Membrane-bound immunomodulators as adjuvants in a cell culture-based avian influenza vaccine,2012-01-01,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Immune Response and Inflammation; Respiratory viral infections research,Medicine; Immunology and Microbiology; Medicine,Health Sciences; Life Sciences; Health Sciences,Vaccine adjuvant,Virology; Influenza A virus subtype H5N1; Vaccine adjuvant; Influenza vaccine; Live attenuated influenza vaccine; Vaccination; Medicine; Immunology; Adjuvant; Biology; Virus,,,
10.1126/science.1213362,Expanding the Options for Confronting Pandemic Influenza,2014-10-07,letter,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Respiratory viral infections research; Viral gastroenteritis research and epidemiology,Medicine; Medicine; Medicine,Health Sciences; Health Sciences; Health Sciences,Pandemic; 2019-20 coronavirus outbreak; Influenza pandemic,Medicine; Pandemic; Coronavirus disease 2019 (COVID-19); 2019-20 coronavirus outbreak; Virology; Influenza pandemic; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); MEDLINE; Intensive care medicine; Outbreak; Infectious disease (medical specialty); Disease; Internal medicine; Political science; Law,"Adjuvants, Immunologic; Immunization, Secondary; Influenza A Virus, H5N1 Subtype; Influenza A Virus, H7N9 Subtype; Influenza Vaccines; Influenza, Human; Polysorbates; Squalene; Adjuvants, Immunologic; Animals; Female; Humans; Influenza Vaccines; Influenza, Human; Male; Polysorbates; Squalene",administration & dosage; None; None; None; administration & dosage; prevention & control; administration & dosage; administration & dosage; None; None; None; None; None; None; None; None; None,10.1001/jama.2014.12558
10.1126/science.1213362,Biological Warfare: From History to Current Affairs,2014-01-15,other,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Zoonotic diseases and public health; Viral Infections and Outbreaks Research,"Biochemistry, Genetics and Molecular Biology; Medicine; Medicine",Life Sciences; Health Sciences; Health Sciences,Biological Warfare; Ingenuity; Chemical warfare,Biological warfare; Ingenuity; Terrorism; Harm; Dilemma; Political science; Public health; Infectious disease (medical specialty); Chemical warfare; Environmental ethics; Law; Criminology; Disease; Medicine; Sociology; Economics; Philosophy; Neoclassical economics; Nursing; Epistemology; Pathology,,,10.1002/9780470015902.a0003290.pub3
10.1126/science.1213362,A Perspective of Influenza Pandemics,2014-01-15,other,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Vaccine Coverage and Hesitancy; Animal Disease Management and Epidemiology,Medicine; Social Sciences; Agricultural and Biological Sciences,Health Sciences; Social Sciences; Life Sciences,Pandemic,Pandemic; Virology; Influenza A virus subtype H5N1; Virus; Biology; Outbreak; Human mortality from H5N1; Influenza A virus; Coronavirus disease 2019 (COVID-19); Disease; Medicine; Infectious disease (medical specialty); Pathology,,,10.1002/9780470015902.a0023618
10.1126/science.1213362,"NEW, EMERGING, AND REEMERGING RESPIRATORY VIRUSES",2013-10-15,other,Respiratory viral infections research,Epidemiology,Health Sciences,Respiratory viral infections research; Viral Infections and Vectors; Viral gastroenteritis research and epidemiology,Medicine; Medicine; Medicine,Health Sciences; Health Sciences; Health Sciences,Human bocavirus; Metapneumovirus; Pandemic,Human metapneumovirus; Human bocavirus; Virology; Metapneumovirus; Respiratory tract infections; Epidemiology; Virus; Pandemic; Population; Respiratory system; Medicine; Biology; Coronavirus disease 2019 (COVID-19); Disease; Environmental health; Internal medicine; Infectious disease (medical specialty),,,10.1002/9781118297469.ch19
10.1126/science.1213362,Pathogenesis,2013-08-16,other,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Pathogenesis,Pathogenesis; Medicine; Internal medicine,,,10.1002/9781118636817.ch10
10.1126/science.1213362,Ecology and evolution of influenza viruses in wild and domestic birds,2013-08-16,other,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Respiratory viral infections research; Viral Infections and Vectors,Medicine; Medicine; Medicine,Health Sciences; Health Sciences; Health Sciences,Pandemic,Influenza A virus subtype H5N1; Biology; Hemagglutinin (influenza); Pandemic; Population; Host (biology); Influenza A virus; Ecology; Virology; Virus; Zoology; Coronavirus disease 2019 (COVID-19); Infectious disease (medical specialty); Environmental health; Medicine; Disease; Pathology,,,10.1002/9781118636817.ch11
10.1126/science.1213362,"Emergence and evolution of the 1918, 1957, 1968, and 2009 pandemic virus strains",2013-08-16,other,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Pandemic; Influenza pandemic; Extinction (optical mineralogy); Viral evolution,Pandemic; Virology; Influenza pandemic; Virus; Biology; Extinction (optical mineralogy); Viral evolution; Coronavirus disease 2019 (COVID-19); Evolutionary biology; Genome; Disease; Genetics; Infectious disease (medical specialty); Gene; Medicine; Paleontology; Pathology,,,10.1002/9781118636817.ch14
10.1126/science.1213362,Epidemiology of influenza,2013-08-16,other,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; COVID-19 epidemiological studies; Respiratory viral infections research,Medicine; Mathematics; Medicine,Health Sciences; Physical Sciences; Health Sciences,,Epidemiology; Virology; Environmental health; Medicine; Pathology,,,10.1002/9781118636817.ch16
10.1126/science.1213362,Influenza: The future,2013-08-16,other,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Respiratory viral infections research; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Pandemic; Influenza pandemic; Human influenza,Pandemic; Perspective (graphical); Influenza pandemic; Virology; Function (biology); Human influenza; Population; Influenza A virus; Virus; Biology; Computer science; Coronavirus disease 2019 (COVID-19); Medicine; Environmental health; Genetics; Infectious disease (medical specialty); Artificial intelligence; Disease; Pathology,,,10.1002/9781118636817.ch29
