unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_doi
10.1007/s40257-021-00607-6,"Recommendations for Vaccination in Children with Atopic Dermatitis Treated with Dupilumab: A Consensus Meeting, 2020",Clinical guidance,2021-06-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8169786/pdf,,"Vaccine, Cytotoxic T cell, MMR vaccine",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>biomedical science, science and technology>natural science, science and technology>natural science>biology, science and technology>biomedical science>pharmacology, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness",10.1016/j.immuni.2006.02.006
10.1787/481685177056,Health Care Quality Indicators Project,Working paper,2006-03-09,https://dx.doi.org/10.1787/481685177056,,"Missing data, Mammography, Screening (medicine)",eng,"health>health treatment, health>diseases and conditions, health, science and technology, health>diseases and conditions>cancer, health>health treatment>medicine",10.1056/nejmra011223
10.2760/26856,Interferences between non-proliferation and science : ‘exporting’ dual-use know-how and technology in conformity with security imperatives.,Publication,2018-01-09,https://op.europa.eu/en/publication-detail/-/publication/7aa93b6b-f5bb-11e7-b8f5-01aa75ed71a1/language-en/format-PDF,,"Treaty on the Non-Proliferation of Nuclear Weapons, Nuclear proliferation, IAEA safeguards",eng,"economy, business and finance, health, science and technology, politics>international relations, politics, economy, business and finance>economy, science and technology>natural science, science and technology>social sciences",10.1007/s11948-007-9043-4
10.2777/17442,European textbook on ethics in research.,Publication,2011-01-04,https://op.europa.eu/en/publication-detail/-/publication/0f37f142-c333-40a8-90a7-bba25c314720/language-en/format-PDF,,"Consequentialism, Principlism, Ethics",eng,"science and technology>social sciences, society, society>values>ethics, society>values, science and technology>social sciences>philosophy, science and technology, health",10.1007/s11948-007-9043-4
10.2777/18849,Syllabus on ethics in research : addendum to the European textbook on ethics in research.,Publication,2011-01-04,https://op.europa.eu/en/publication-detail/-/publication/b38f1fd1-994d-45bb-b765-bf24391b549e/language-en/format-PDF,,"Informed consent, Principlism, Research",eng,"society, society>values>ethics, health>diseases and conditions, health>diseases and conditions>illness, health, society>values",10.1007/s11948-007-9043-4
10.2777/51536,European textbook on ethics in research.,Publication,2010-10-06,https://op.europa.eu/en/publication-detail/-/publication/12567a07-6beb-4998-95cd-8bca103fcf43/language-en/format-PDF,,"Consequentialism, Principlism, Ethics",eng,"science and technology>social sciences, society, society>values>ethics, society>values, science and technology>social sciences>philosophy, science and technology, health",10.1007/s11948-007-9043-4
10.2777/56382,Syllabus on ethics in research : addendum to the European textbook on ethics in research.,Publication,2010-09-08,https://op.europa.eu/en/publication-detail/-/publication/3b85d7d8-c113-44ad-97d1-408a01a9504f/language-en/format-PDF,,"Informed consent, Principlism, Research",eng,"society, society>values>ethics, health>diseases and conditions, health>diseases and conditions>illness, health, society>values",10.1007/s11948-007-9043-4
10.2777/7491,Ethics for researchers : facilitating research excellence in FP7.,Publication,2015-07-01,https://op.europa.eu/en/publication-detail/-/publication/68d86ebd-332f-46c0-8474-49fd93ba098f/language-en/format-PDF,,"Research, Animal testing, Convention for the Protection of Human Rights and Dignity of the Human Being with regard to the Application of Biology and Medicine",eng,"science and technology>natural science, society, society>values, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, society>values>ethics",10.1007/978-1-4020-8312-9
10.25646/10113.13,Information on the treatment of monkeypox,Clinical guidance,2022-05-27,http://edoc.rki.de/176904/9881.13,"Amtliche Bekanntmachungen/Kommissionsveröffentlichungen, Article, Bekanntmachungen des Robert Koch-Instituts, DDC 610, Open Access Set, Primus Set, published version, textPublication","Post-exposure prophylaxis, Modified vaccinia Ankara, Vaccinia",ger,"health>diseases and conditions>illness, health>diseases and conditions, health",10.1128/aac.00762-07
10.2903/sp.efsa.2020.en-1934,Outcome of the public consultation on the draft Scientific Opinion on the evaluation of existing guidelines for their adequacy for the microbial characterisation and environmental risk assessment of micro‐organisms obtained through synthetic biology,Publication,2020-10-28,https://www.efsa.europa.eu/en/supporting/pub/en-1934,,"Synthetic biology, Bioinformatics, DNA sequencing",eng,"environment, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health, environment>nature",10.1016/j.febslet.2012.02.022
10.2875/590512,Final opinion on synthetic biology III : risks to the environment and biodiversity related to synthetic biology and research priorities in the field of synthetic biology.,Publication,2016-04-04,https://op.europa.eu/en/publication-detail/-/publication/9b231c71-faf1-11e5-b713-01aa75ed71a1/language-en/format-PDF,,"Convention on Biological Diversity, Biodiversity, Genetically modified organism",eng,"science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, environment, science and technology",10.1016/j.febslet.2012.02.022
10.2772/63529,Opinion on synthetic biology II : risk assessment methodologies and safety aspects.,Publication,2016-02-12,https://op.europa.eu/en/publication-detail/-/publication/bfd7d06c-d3ae-11e5-a4b5-01aa75ed71a1/language-en/format-PDF,,"Genetically modified organism, Synthetic biology, Xeno nucleic acid",eng,"economy, business and finance, economy, business and finance>economic sector, health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, economy, business and finance>economic sector>chemicals, health>diseases and conditions>communicable disease>virus disease",10.1016/j.febslet.2012.02.022
10.1787/9789264213562-en,Biosafety and the Environmental Uses of Micro-Organisms,Publication,2015-01-22,https://dx.doi.org/10.1787/9789264213562-en,,"Mycorrhiza, Agrobacterium tumefaciens, Rhizobia",eng,"science and technology>natural science>biology>genetics, science and technology>natural science, science and technology>natural science>biology, economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>chemicals, economy, business and finance>economic sector>agriculture, economy, business and finance>economic sector>chemicals>organic chemical, science and technology",10.1016/j.febslet.2012.02.022
10.2903/j.efsa.2017.4666,"EMA and EFSA Joint Scientific Opinion on measures to reduce the need to use antimicrobial agents in animal husbandry in the European Union, and the resulting impacts on food safety (RONAFA)",Scholarly article,2017-01-24,https://www.efsa.europa.eu/en/efsajournal/pub/4666,,"Medicine, One Health, Disease",eng,"science and technology, science and technology>natural science, health>diseases and conditions, health>diseases and conditions>illness, health, science and technology>natural science>biology",10.1162/isec.2010.34.4.96
10.4060/cb5798en,How to mainstream sustainability and circularity into the bioeconomy?,Publication,2021-01-01,https://openknowledge.fao.org/handle/20.500.14283/CB5798EN,"1 - Продукты знаний, Publicaciones, value chains","Agriculture, Biobased economy, Sustainable Development Goal 17",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>agriculture, science and technology, lifestyle and leisure>lifestyle>food and drink, lifestyle and leisure>lifestyle>food and drink>organic food, environment",10.1080/10643389.2019.1579628
10.5281/zenodo.11629357,IPBES Invasive Alien Species Assessment: Full report,Publication,2024-02-23,https://zenodo.org/records/11629357,,"Forest, Littoral zone, Tundra",eng,"economy, business and finance, economy, business and finance>economic sector, environment>natural resources, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, environment>natural resources>water, environment, science and technology, economy, business and finance>economic sector>agriculture",10.1016/j.jri.2006.04.006
10.5281/zenodo.11437851,"IPBES Invasive Alien Species Assessment: Chapter 5. Management; challenges, opportunities and lessons learned",Publication,2024-02-23,https://zenodo.org/records/11437851,,"Pest risk analysis, Honey bee, Environmental DNA",eng,"economy, business and finance, economy, business and finance>economic sector, environment, science and technology, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>agriculture, environment>nature",10.1016/j.jri.2006.04.006
10.2903/j.efsa.2020.6263,Evaluation of existing guidelines for their adequacy for the microbial characterisation and environmental risk assessment of microorganisms obtained through synthetic biology,Scholarly article,2020-10-28,https://www.efsa.europa.eu/en/efsajournal/pub/6263,,"Genetic code, Genetically modified organism, Whole genome sequencing",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health",10.1002/bies.201000099
10.2875/590512,Final opinion on synthetic biology III : risks to the environment and biodiversity related to synthetic biology and research priorities in the field of synthetic biology.,Publication,2016-04-04,https://op.europa.eu/en/publication-detail/-/publication/9b231c71-faf1-11e5-b713-01aa75ed71a1/language-en/format-PDF,,"Convention on Biological Diversity, Biodiversity, Genetically modified organism",eng,"science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, environment, science and technology",10.1002/bies.201000099
