core_doi,title,publication_date,type,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name,first_order_doi
10.1371/journal.pone.0188453,Vaccinia virus modulates the host cell cycle to promote infection,2019-11-28,dissertation,Poxvirus research and outbreaks,Virology,Life Sciences,Poxvirus research and outbreaks; Virus-based gene therapy research; Bacteriophages and microbial interactions,"Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology; Environmental Science",Life Sciences; Life Sciences; Physical Sciences,Viral life cycle; DNA virus,Biology; Oncolytic virus; Viral replication; Cell cycle; Vaccinia; Virology; Virus; Cell biology; Viral entry; Viral life cycle; DNA virus; Cell; Gene; Recombinant DNA; Genetics; Genome,,,
10.1371/journal.pone.0188453,A Review on Infectious Disease Management and Their Challenges,2025-01-20,review,COVID-19 epidemiological studies,Modeling and Simulation,Physical Sciences,COVID-19 epidemiological studies; Vaccine Coverage and Hesitancy; Zoonotic diseases and public health,Mathematics; Social Sciences; Medicine,Physical Sciences; Social Sciences; Health Sciences,,Infectious disease (medical specialty); Disease; Intensive care medicine; Medicine; Biology; Pathology,,,10.1002/9781394200559.ch2
10.1371/journal.pone.0188453,Discovery and Development of Brincidofovir,2025-04-18,other,Cytomegalovirus and herpesvirus research,Epidemiology,Health Sciences,Cytomegalovirus and herpesvirus research; Herpesvirus Infections and Treatments; Polyomavirus and related diseases,Medicine; Medicine; Medicine,Health Sciences; Health Sciences; Health Sciences,,Computer science,,,10.1002/9783527845088.ch15
10.1371/journal.pone.0188453,Does Biotechnology Pose New Catastrophic Risks?,2019-01-01,review,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Viral Infections and Outbreaks Research; Viral gastroenteritis research and epidemiology,"Biochemistry, Genetics and Molecular Biology; Medicine; Medicine",Life Sciences; Health Sciences; Health Sciences,Preparedness; Biosecurity; Synthetic Biology; Prioritization; Emerging Technologies,Preparedness; Biosecurity; Synthetic biology; Biotechnology; Harm; Prioritization; Emerging technologies; Risk analysis (engineering); Dual (grammatical number); Engineering; Engineering ethics; Management science; Business; Political science; Computer science; Biology; Computational biology; Ecology; Art; Literature; Law; Artificial intelligence,Biotechnology; Dual Use Research; Infections; Synthetic Biology; Humans; Infections; Infections; Infections; Risk Management,None; None; etiology; None; None; None; microbiology; virology; None,10.1007/82_2019_177
10.1371/journal.pone.0188453,Poxvirus Epidemiology,2024-12-02,review,Poxvirus research and outbreaks,Virology,Life Sciences,Poxvirus research and outbreaks; Herpesvirus Infections and Treatments; Bacillus and Francisella bacterial research,"Immunology and Microbiology; Medicine; Biochemistry, Genetics and Molecular Biology",Life Sciences; Health Sciences; Life Sciences,,Epidemiology; Virology; Medicine; Pathology,"Animals; History, 20th Century; History, 21st Century; Humans; Orthopoxvirus; Poxviridae; Poxviridae Infections; Smallpox",None; None; None; None; genetics; genetics; epidemiology; epidemiology,10.1007/978-1-0716-4160-6_1
10.1371/journal.pone.0188453,Synthetic Biology: Biosecurity and Biosafety Implications,2019-01-01,book-chapter,CRISPR and Genetic Engineering,Molecular Biology,Life Sciences,CRISPR and Genetic Engineering; Bacillus and Francisella bacterial research; Biotechnology and Related Fields,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Life Sciences; Health Sciences,Biosecurity; Biosafety; Biodefense; Synthetic Biology; Biological Warfare; Basic Research,Biosecurity; Biosafety; Biodefense; Synthetic biology; Biological warfare; Basic research; Biotechnology; Biology; Risk analysis (engineering); Computational biology; Computer science; Business; Toxicology; Ecology; Microbiology; Library science,,,10.1007/978-3-030-03053-7_11
10.1371/journal.pone.0188453,Emerging and Enabling Technologies in Biodefense,2019-01-01,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; CRISPR and Genetic Engineering; Cell Image Analysis Techniques,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Biodefense,Biodefense; Computer science; Medicine; Pathology,,,10.1007/978-3-030-03053-7_13
10.1371/journal.pone.0188453,Effective and Comprehensive Governance of Biological Risks: A Network of Networks Approach for Sustainable Capacity Building,2019-11-28,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Biotechnology and Related Fields; Genetically Modified Organisms Research,"Biochemistry, Genetics and Molecular Biology; Medicine; Agricultural and Biological Sciences",Life Sciences; Health Sciences; Life Sciences,Argument (complex analysis); Capacity Building; Stakeholder Engagement,Corporate governance; Argument (complex analysis); Agency (philosophy); Stakeholder; Capacity building; Business; Stakeholder engagement; Environmental resource management; Risk analysis (engineering); Environmental planning; Political science; Economics; Public relations; Geography; Economic growth; Sociology; Biochemistry; Chemistry; Social science; Finance,,,10.1007/978-3-030-27264-7_14
10.1371/journal.pone.0188453,From the Lab Bench to the Battlefield: Novel Vaccine Technologies and Informed Consent,2020-01-01,book-chapter,Vaccine Coverage and Hesitancy,Health,Social Sciences,Vaccine Coverage and Hesitancy; Zoonotic diseases and public health; Viral Infections and Outbreaks Research,Social Sciences; Medicine; Medicine,Social Sciences; Health Sciences; Health Sciences,Battlefield; Bench to bedside,Battlefield; Informed consent; Bench to bedside; Medicine; Medical education; Virology; Medical physics; Alternative medicine; History; Pathology; Ancient history,,,10.1007/978-3-030-36319-2_5
10.1371/journal.pone.0188453,Emerging Viral-Vectored Technology: Future Potential of Capripoxvirus and African Swine Fever Virus as Viral Vectors,2020-11-30,book-chapter,Animal Disease Management and Epidemiology,Agronomy and Crop Science,Life Sciences,Animal Disease Management and Epidemiology; Vector-Borne Animal Diseases; Viral gastroenteritis research and epidemiology,Agricultural and Biological Sciences; Agricultural and Biological Sciences; Medicine,Life Sciences; Life Sciences; Health Sciences,,Virology; African swine fever virus; Biology; Vector (molecular biology); Virus; Viral vector; Recombinant DNA; Gene; Biochemistry,,,10.1007/978-3-030-51927-8_14
10.1371/journal.pone.0188453,Biological Threats,2022-01-01,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; SARS-CoV-2 and COVID-19 Research; Zoonotic diseases and public health,"Biochemistry, Genetics and Molecular Biology; Medicine; Medicine",Life Sciences; Health Sciences; Health Sciences,,Computer science,,,10.1007/978-3-031-17374-5_3
10.1371/journal.pone.0188453,Treatment and Vaccination for Smallpox and Monkeypox,2024-01-01,article,Poxvirus research and outbreaks,Virology,Life Sciences,Poxvirus research and outbreaks; Bacillus and Francisella bacterial research; Transgenic Plants and Applications,"Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Monkeypox; Smallpox vaccine; Smallpox Vaccination,Monkeypox; Smallpox; Virology; Smallpox vaccine; Vaccination; Smallpox vaccination; Vaccinia; Medicine; Biology; Genetics; Gene; Recombinant DNA,"Animals; Antiviral Agents; Benzamides; Cidofovir; Cytosine; Humans; Immunization, Passive; Immunoglobulins, Intravenous; Isoindoles; Monkeypox virus; Mpox (monkeypox); Organophosphonates; Phthalimides; Smallpox; Smallpox Vaccine; Vaccination; Variola virus",None; therapeutic use; None; therapeutic use; analogs & derivatives; None; methods; therapeutic use; therapeutic use; immunology; epidemiology; therapeutic use; None; prevention & control; immunology; methods; immunology,10.1007/978-3-031-57165-7_19
10.1371/journal.pone.0188453,Gene Editing—The CRISPR Tool,2024-01-01,book-chapter,CRISPR and Genetic Engineering,Molecular Biology,Life Sciences,CRISPR and Genetic Engineering; Innovation and Socioeconomic Development; Animal Genetics and Reproduction,"Biochemistry, Genetics and Molecular Biology; Business, Management and Accounting; Biochemistry, Genetics and Molecular Biology",Life Sciences; Social Sciences; Life Sciences,,CRISPR; Genome editing; Computational biology; Gene; Biology; Genetics,,,10.1007/978-3-031-68542-2_5
10.1371/journal.pone.0188453,"Chemical, Biological, Radiological, Nuclear, and Explosive Threats: An Introduction",2018-09-26,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,"Bacillus and Francisella bacterial research; Poxvirus research and outbreaks; Yersinia bacterium, plague, ectoparasites research","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Chemical warfare; Battlefield; Biological Warfare,Chemical warfare; Battlefield; Biological warfare; Homeland security; Nuclear weapon; Political science; Government (linguistics); Computer security; Hazard; Engineering; Terrorism; Business; Law; History; Computer science; Chemistry; Ancient history; Linguistics; Philosophy; Organic chemistry,,,10.1007/978-3-319-51761-2_14-1
10.1371/journal.pone.0188453,"Chemical, Biological, Radiological, Nuclear, and Explosive Threats: An Introduction",2022-01-01,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,"Bacillus and Francisella bacterial research; Poxvirus research and outbreaks; Yersinia bacterium, plague, ectoparasites research","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Chemical warfare; Battlefield; Biological Warfare,Chemical warfare; Battlefield; Homeland security; Biological warfare; Political science; Nuclear weapon; Government (linguistics); Computer security; Hazard; Engineering; Terrorism; Business; Law; History; Computer science; Ancient history; Linguistics; Philosophy; Chemistry; Organic chemistry,,,10.1007/978-3-319-91875-4_14
10.1371/journal.pone.0188453,Emerging Threats of Synthetic Biology and Biotechnology,2021-01-01,book,Biotechnology and Related Fields,"Public Health, Environmental and Occupational Health",Health Sciences,"Biotechnology and Related Fields; Science, Research, and Medicine; Genetics, Bioinformatics, and Biomedical Research","Medicine; Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Health Sciences; Life Sciences,Synthetic Biology,Synthetic biology; Biotechnology; Biology; Computational biology,,,10.1007/978-94-024-2086-9
10.1371/journal.pone.0188453,Biosecurity for Synthetic Biology and Emerging Biotechnologies: Critical Challenges for Governance,2021-01-01,book-chapter,CRISPR and Genetic Engineering,Molecular Biology,Life Sciences,"CRISPR and Genetic Engineering; Bacillus and Francisella bacterial research; Law, AI, and Intellectual Property","Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Computer Science",Life Sciences; Life Sciences; Physical Sciences,Biosecurity; Synthetic Biology,Biosecurity; Synthetic biology; Biotechnology; Biochemical engineering; Engineering; Biology; Nanotechnology; Ecology; Computational biology; Materials science,,,10.1007/978-94-024-2086-9_1
10.1371/journal.pone.0188453,Predicting Biosecurity Threats: Deployment and Detection of Biological Weapons,2021-01-01,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Cell Image Analysis Techniques; CRISPR and Genetic Engineering,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Biosecurity; Biological Warfare; Identification,Biosecurity; Biological warfare; Software deployment; Risk analysis (engineering); Computer security; Identification (biology); Engineering; Computer science; Business; Political science; Biology; Law; Ecology; Software engineering,,,10.1007/978-94-024-2086-9_13
10.1371/journal.pone.0188453,Promoting Effective Biosecurity Governance: Using Tripwires to Anticipate and Ameliorate Potentially Harmful Development Trends,2021-01-01,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; CRISPR and Genetic Engineering; Cell Image Analysis Techniques,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Biosecurity; Biological Warfare; Synthetic Biology,Biosecurity; Harm; Biological warfare; Synthetic biology; Corporate governance; Biotechnology; Business; Environmental planning; Engineering; Engineering ethics; Political science; Biology; Ecology; Geography; Law; Computational biology; Finance,,,10.1007/978-94-024-2086-9_14
10.1371/journal.pone.0188453,Emerging Biosecurity Threats and Responses: A Review of Published and Gray Literature,2021-01-01,review,CRISPR and Genetic Engineering,Molecular Biology,Life Sciences,"CRISPR and Genetic Engineering; Law, AI, and Intellectual Property; Bacillus and Francisella bacterial research","Biochemistry, Genetics and Molecular Biology; Computer Science; Biochemistry, Genetics and Molecular Biology",Life Sciences; Physical Sciences; Life Sciences,Biosecurity,Biosecurity; Biotechnology; Government (linguistics); Agriculture; Political science; Engineering; Business; Biology; Philosophy; Ecology; Linguistics,,,10.1007/978-94-024-2086-9_2
10.1371/journal.pone.0188453,"Opportunities, Challenges, and Future Considerations for Top-Down Governance for Biosecurity and Synthetic Biology",2021-01-01,book-chapter,CRISPR and Genetic Engineering,Molecular Biology,Life Sciences,CRISPR and Genetic Engineering; Gene Regulatory Network Analysis; Biotechnology and Related Fields,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Life Sciences; Health Sciences,Synthetic Biology; Biosecurity; Unintended consequences,Synthetic biology; Biosecurity; Sustainability; CRISPR; Unintended consequences; Biotechnology; Engineering ethics; Biology; Risk analysis (engineering); Computer science; Engineering; Computational biology; Business; Political science; Ecology; Genetics; Law; Gene,,,10.1007/978-94-024-2086-9_3
10.1371/journal.pone.0188453,Kommissionen für Ethik sicherheitsrelevanter Forschung entsprechend den Empfehlungen von Leopoldina und Deutscher Forschungsgemeinschaft (DFG),2019-05-08,review,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Influenza Virus Research Studies,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences,,Political science; Legislation; German; Law; Library science; Public administration; Computer science; Archaeology; History,Biomedical Research; Ethics Committees; Animal Welfare; Animals; Germany; Humans,None; None; None; None; None; None,10.1007/s00103-019-02954-6
10.1371/journal.pone.0188453,Giving voice to African thought in medical research ethics,2017-03-25,article,Viral Infections and Outbreaks Research,Infectious Diseases,Health Sciences,Viral Infections and Outbreaks Research; African cultural and philosophical studies; Vaccine Coverage and Hesitancy,Medicine; Social Sciences; Social Sciences,Health Sciences; Social Sciences; Social Sciences,Indoctrination; Philosophy of medicine; Eurocentrism; History of medicine,Indoctrination; Philosophy of medicine; Colonialism; Medical ethics; Hegemony; Perspective (graphical); Eurocentrism; Sociology; History of medicine; Political science; Epistemology; Environmental ethics; Medicine; Law; Politics; Alternative medicine; Ideology; Philosophy; Pathology; Artificial intelligence; Computer science,"Biomedical Research; Ethics, Research; Africa; Biomedical Research; Ethics, Medical; Humans",ethics; None; None; None; None; None,10.1007/s11017-017-9402-3
10.1371/journal.pone.0188453,Whole genome engineering by synthesis,2018-11-20,review,CRISPR and Genetic Engineering,Molecular Biology,Life Sciences,CRISPR and Genetic Engineering; RNA and protein synthesis mechanisms; Bacterial Genetics and Biotechnology,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Synthetic Biology; Hybrid genome assembly; Genome Engineering,Genome; Synthetic biology; Genomics; Computational biology; Genome editing; Hybrid genome assembly; Genome engineering; Genome project; Computer science; Biology; Genetics; Gene,"Genes, Synthetic; Genetic Engineering; Genome; Synthetic Biology; Genome; Genomics; Models, Biological; Sequence Analysis",None; None; None; None; genetics; None; None; None,10.1007/s11427-018-9403-y
10.1371/journal.pone.0188453,Forensic public health,2019-12-07,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Zoonotic diseases and public health; Viral Infections and Outbreaks Research,"Biochemistry, Genetics and Molecular Biology; Medicine; Medicine",Life Sciences; Health Sciences; Health Sciences,Covert; Pandemic; Biodefense,Outbreak; Disease; Covert; Public health; Pandemic; Biodefense; Transmission (telecommunications); Biology; Infectious disease (medical specialty); Risk analysis (engineering); Data science; Computer security; Medicine; Computer science; Virology; Coronavirus disease 2019 (COVID-19); Microbiology; Pathology; Telecommunications; Linguistics; Philosophy,,,10.1016/b978-0-12-815379-6.00008-8
10.1371/journal.pone.0188453,Design of genomic signatures for pathogen identification and characterization,2019-12-07,book-chapter,Genomics and Phylogenetic Studies,Molecular Biology,Life Sciences,Genomics and Phylogenetic Studies; Bacillus and Francisella bacterial research; Molecular Biology Techniques and Applications,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Identification,Genome; Identification (biology); Computational biology; Organism; Biology; Genetics; Gene; Ecology,,,10.1016/b978-0-12-815379-6.00020-9
